"Id";"Nome";"SKU";"Formato"
"16398743414";"CHÁ BROWN SUGAR GINGER JUJUBE";"CHÁ001";"S"
"16398743413";"FATIA TORTA QUICHE DE ALHO PORÓ";"TORT004";"S"
"16398743322";"CHÁ NOURISHING (NUTRITIVO)";"CHÁ017";"S"
"16383136478";"POLPA AÇAI MEDIO XINGU - 100GR";"POLP003";"S"
"16383136455";"PERFUME P/ INTERIORES 200 ML - AVATIM";"PERF003";"V"
"16383136448";"Perfume de Ambientes AVATIM Lavanda & Âmbar 500ml";"PERF002";"S"
"16383136441";"PÃO DE QUEIJO TRADICIONAL (300G)";"PÃO002";"S"
"16383136440";"PÃO DE QUEIJO COQUETEL (300G)";"PÃO001";"S"
"16383136439";"Ômega 3 DHA OCEAN DROP 60 Cápsulas";"OMEG001";"S"
"16383136438";"ÓLEO EM CREME AVATIM MARACUJÁ & LIMA 300G";"CREM002";"S"
"16383136437";"Óleo de Alho CENTRAL NUTRITION 500mg 90 Cápsulas​";"OLEO001";"S"
"16383136435";"MILKSHAKE DA AMAZÔNIA";"SHAK001";"E"
"16383136434";"FÓRMULA ARTICULAÇÕES MOREFLEX CENTRAL NUTRITION 90 CÁPSULAS​";"MORE001";"S"
"16383136422";"COFFEE MAHTA 220G";"MAHTCOF001";"V"
"16383136421";"Magnésio Plus OCEAN DROP 900mg 180 Cápsulas";"MAGN001";"S"
"16383136395";"MINI KIT GIGI";"MINIKIT001AVATIN";"V"
"16383136380";"Kit Dia a Dia AVATIM Chá Verde & Ervas 2x100g";"KIT001AVATIN";"S"
"16383136375";"GUARDIAN CENTRAL NUTRITION (CX. C/ 30 SACHÊS)";"GUAR001";"V"
"16383136367";"Feno Grego OCEAN DROP 60 Cápsulas";"FENO001";"S"
"16383136362";"FATIA TORTA DE MAÇÃ";"TORT002";"S"
"16383136361";"FATIA TORTA DE LIMÃO";"TORT001";"S"
"16383136345";"SACHÊ PROTEINA VEGETAL 30G - OCEAN DROP";"SACHPROT001";"V"
"16383136342";"Difusor de Essência AVATIM Alecrim & Capim Limão 100ml";"DIFU001";"S"
"16383136338";"Cúrcuma OCEAN DROP 500mg 60 Cápsulas";"CURC001";"S"
"16383136330";"COXINHA DE JACÁ";"COXI001";"S"
"16383136318";"COLLCREATINE LATA 500G - CENTRAL NUTRITION";"CREAT001";"V"
"16383136311";"CHÁ DE ALCAÇUZ E CEVADA";"CHÁ014";"S"
"16383136296";"CHÁ DETOX DE DENTE DE LEÃO";"CHÁ013";"S"
"16383136295";"CHÁ DE PORIA COM JUJUBA AZEDO";"CHÁ012";"S"
"16383136293";"CHÁ DE OSMANTHUS OOLONG";"CHÁ011";"S"
"16383136290";"CHÁ DE GANODERMA E OSMANTHUS";"CHÁ009";"S"
"16383136289";"CHÁ DE FOLHA DE AMORA";"CHÁ008";"S"
"16383136288";"CHÁ DE FLORES E FRUTAS (QING XIA)";"CHA007";"S"
"16383136287";"CHÁ DE FLORES E FRUTAS (QING AI DE LAN)";"CHA006";"S"
"16383136286";"CHÁ DE FLORES E FRUTAS (HONG LING)";"CHÁ005";"S"
"16383136285";"CHÁ DE ESPINHEIRO COM CÁSSIA";"CHÁ004";"S"
"16383136282";"CAFÉ COADO";"CAFÉ001";"S"
"16383136274";"Fórmula Bio Shot XTRATUS Neutro 240g";"BIO001";"S"
"16383136270";"AMINNU LIVRE DE XILITOL (CX. C/ 30 SACHÊS) - CENTRAL NUTRITION";"AMIN001";"V"
"16383136269";"Água Perfumada Roupas AVATIM Lavanda & Âmbar 1000ml";"AGUAPER003";"S"
