"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód. no fornecedor";"Fornecedor";"Localização";"Estoque máximo";"Estoque mínimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da Embalagem";"Largura do produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Itens p/ caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código na Lista de Serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do Produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de Medida";"Preço de Compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais";"teste";"marca";"formatoDoSuplemento";"tipoDeSuplemento";"linha";"suplementoPrincipal";"nomeComercial";"tipoDeEmbalagem";"formatoDeVenda";"unidadesPorEmbalagem";"unidadesPorKit";"pesoLiquidog";"volumeLiquidoml";"volumeDaUnidademl";"pesoDaUnidadeg";"ingredientes";"valoresNutricionaisPorPorcao";"pesoDaPorcaog";"volumeDaPorcaoml";"aminoacidosPorPorcao";"idadeMinimaRecomendadaanos";"eLivreDeGluten";"eVegano";"contemLactose";"codigoUniversalDeProduto"
"16587719780";"	";"SACHE MUSHROOM COFFEE 10g - MUSHIN";"";"";"0";"0,00";"0,00";"";"Inativo";"0";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16587719762";"CEN-KIT-16587719762	";"Kit Zip Lock Card De Lanc - Central Nutrition";"";"";"0";"0,00";"0,00";"";"Ativo";"0";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16587719746";"XTR-DIV-16587719746	";"Intratreino Abacaxi Com Hortela 1kg - Xtratus";"";"";"0";"229,00";"0,00";"";"Ativo";"0";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16587719736";"LAS-MAN-16587719736	";"Manteiga Karite 100g - Laszlo";"";"";"0";"71,10";"0,00";"";"Ativo";"0";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16587719715";"AMO-DIV-16587719715	";"Iluminador Mineral Em Po Diamante - Amokarite";"";"";"0";"56,25";"0,00";"";"Ativo";"0";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16587719699";"MAH-SAC-16587719699	";"Cx Superfoods Acai E Camu-Camu 10 Unid Sache - Mahta";"";"";"0";"299,00";"0,00";"";"Ativo";"0";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16587719617";"GEN-DIV-16587719617	";"Quinoa Grao / 1kg";"";"";"0";"81,00";"0,00";"";"Ativo";"0";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16587719607";"GEN-DIV-16587719607	";"Para Tudo Lenho / 500g";"";"";"0";"21,00";"0,00";"";"Ativo";"0";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16587719598";"GEN-DIV-16587719598	";"Jatoba Fruto / 500g";"";"";"0";"39,00";"0,00";"";"Ativo";"0";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16587719588";"GEN-DIV-16587719588	";"Gengibre Raiz Pct / 500g";"";"";"0";"90,00";"0,00";"";"Ativo";"0";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
